,StartDate,EndDate,CurrentRelationshipStatus,RelationshipLength,Frequency in separate beds,Occupation,Gender,Age,Household income,Education,Location,Gender_code,Age_code,Household income_code,Education_code
601,7/9/14 18:58,7/9/14 19:00,Married,More than 20 years,Never,Retired1,Male,> 60,"$25,000 - $49,999",Bachelor degree,Middle Atlantic,0,4,2,4
606,7/9/14 18:57,7/9/14 18:58,Married,16-20 years,Never,"Education, Training, and Library Occupations",Male,45-60,Did not disclose,Some college or Associate degree,East North Central,0,3,0,3
607,7/9/14 18:57,7/9/14 19:00,"Single, but cohabiting with a significant other",1-5 years,Never,Architecture and Engineering Occupations,Male,18-29,"$0 - $24,999",Some college or Associate degree,West South Central,0,1,1,3
608,7/9/14 18:57,7/9/14 18:58,Married,More than 20 years,Never,Business and Financial Operations Occupations,Did not disclose,Did not disclose,Did not disclose,Did not disclose,Did not disclose,2,0,0,0
609,7/9/14 18:57,7/9/14 18:58,Married,More than 20 years,Never,Healthcare Practitioners and Technical Occupations,Female,45-60,Did not disclose,Some college or Associate degree,East North Central,1,3,0,3
611,7/9/14 18:56,7/9/14 18:57,Married,More than 20 years,Never,Business and Financial Operations Occupations,Male,> 60,Did not disclose,Bachelor degree,Middle Atlantic,0,4,0,4
612,7/9/14 18:56,7/9/14 18:57,Married,1-5 years,Never,"Life, Physical, and Social Science Occupations",Female,18-29,"$25,000 - $49,999",Graduate degree,Mountain,1,1,2,5
613,7/9/14 18:56,7/9/14 18:57,Married,11-15 years,Never,Product development,Did not disclose,Did not disclose,Did not disclose,Did not disclose,Did not disclose,2,0,0,0
615,7/9/14 18:56,7/9/14 18:58,Married,More than 20 years,Never,Office and Administrative Support Occupations,Female,45-60,"$100,000 - $149,999",High school degree,East North Central,1,3,4,2
616,7/9/14 18:56,7/9/14 18:57,Married,More than 20 years,Never,retired,Female,> 60,"$25,000 - $49,999",Graduate degree,Middle Atlantic,1,4,2,5
623,7/9/14 18:55,7/9/14 18:56,"Single, but cohabiting with a significant other",1-5 years,Never,Healthcare Support Occupations,Female,18-29,Did not disclose,Bachelor degree,Middle Atlantic,1,1,0,4
624,7/9/14 18:55,7/9/14 18:56,Married,11-15 years,Never,Management Occupations,Male,> 60,"$150,000+",Graduate degree,East North Central,0,4,5,5
625,7/9/14 18:55,7/9/14 18:55,Married,11-15 years,Never,Computer and Mathematical Occupations,Male,30-44,"$150,000+",Bachelor degree,Middle Atlantic,0,2,5,4
626,7/9/14 18:54,7/9/14 18:55,Married,More than 20 years,Never,"Education, Training, and Library Occupations",Female,45-60,"$100,000 - $149,999",Graduate degree,Middle Atlantic,1,3,4,5
629,7/9/14 18:54,7/9/14 18:56,Married,11-15 years,Never,Information Technology,Male,45-60,"$50,000 - $99,999",Bachelor degree,West North Central,0,3,3,4
630,7/9/14 18:54,7/9/14 18:54,Married,11-15 years,Never,Community and Social Service Occupations,Male,30-44,"$100,000 - $149,999",Bachelor degree,Pacific,0,2,4,4
632,7/9/14 18:53,7/9/14 18:55,Married,More than 20 years,Never,Transportation and Materials Moving Occupations,Male,45-60,"$100,000 - $149,999",Bachelor degree,Middle Atlantic,0,3,4,4
634,7/9/14 18:52,7/9/14 18:54,Married,More than 20 years,Never,Avocational job-shop (machinist),Male,> 60,Did not disclose,Some college or Associate degree,West South Central,0,4,0,3
636,7/9/14 18:52,7/9/14 18:53,Married,More than 20 years,Never,retired,Male,> 60,"$50,000 - $99,999",Bachelor degree,South Atlantic,0,4,3,4
637,7/9/14 18:52,7/9/14 18:53,Married,More than 20 years,Never,Architecture and Engineering Occupations,Male,45-60,Did not disclose,Bachelor degree,East North Central,0,3,0,4
638,7/9/14 18:52,7/9/14 18:53,Married,11-15 years,Never,Domestic specialist,Female,30-44,"$0 - $24,999",Bachelor degree,West North Central,1,2,1,4
639,7/9/14 18:52,7/9/14 18:53,Married,More than 20 years,Never,retired,Male,> 60,"$25,000 - $49,999",Bachelor degree,East North Central,0,4,2,4
643,7/9/14 18:51,7/9/14 18:52,Married,More than 20 years,Never,Manufacturing,Male,45-60,"$100,000 - $149,999",Some college or Associate degree,Mountain,0,3,4,3
645,7/9/14 18:50,7/9/14 18:52,In a domestic partnership or civil union,11-15 years,Never,"Education, Training, and Library Occupations",Female,30-44,"$25,000 - $49,999",Some college or Associate degree,Middle Atlantic,1,2,2,3
646,7/9/14 18:50,7/9/14 18:51,Married,More than 20 years,Never,Retired,Female,> 60,Did not disclose,Some college or Associate degree,New England,1,4,0,3
648,7/9/14 18:50,7/9/14 18:51,In a domestic partnership or civil union,More than 20 years,Never,"Life, Physical, and Social Science Occupations",Female,> 60,Did not disclose,Did not disclose,Middle Atlantic,1,4,0,0
649,7/9/14 18:50,7/9/14 18:51,Divorced,1-5 years,Never,Gas attendant.,Male,> 60,"$0 - $24,999",Some college or Associate degree,Middle Atlantic,0,4,1,3
652,7/9/14 18:50,7/9/14 18:51,Married,More than 20 years,Never,"Life, Physical, and Social Science Occupations",Male,45-60,"$50,000 - $99,999",Bachelor degree,South Atlantic,0,3,3,4
653,7/9/14 18:50,7/9/14 18:51,Married,More than 20 years,Never,retired,Male,45-60,"$50,000 - $99,999",Some college or Associate degree,Middle Atlantic,0,3,3,3
654,7/9/14 18:50,7/9/14 18:50,Married,1-5 years,Never,Computer and Mathematical Occupations,Female,18-29,"$100,000 - $149,999",Bachelor degree,South Atlantic,1,1,4,4
657,7/9/14 18:49,7/9/14 18:50,"Single, but cohabiting with a significant other",16-20 years,Never,Healthcare Practitioners and Technical Occupations,Female,> 60,"$50,000 - $99,999",Some college or Associate degree,East North Central,1,4,3,3
661,7/9/14 18:48,7/9/14 18:49,Married,More than 20 years,Never,Sales and Related Occupations,Male,> 60,"$150,000+",Graduate degree,New England,0,4,5,5
663,7/9/14 18:48,7/9/14 18:49,Married,16-20 years,Never,Translator and editor,Female,> 60,Did not disclose,Graduate degree,Middle Atlantic,1,4,0,5
665,7/9/14 18:47,7/9/14 18:49,Married,More than 20 years,Never,A/V Consultant,Male,45-60,Did not disclose,Some college or Associate degree,South Atlantic,0,3,0,3
667,7/9/14 18:47,7/9/14 18:48,Married,More than 20 years,Never,"Arts, Design, Entertainment, Sports, and Media Occupations",Male,45-60,"$100,000 - $149,999",Bachelor degree,New England,0,3,4,4
670,7/9/14 18:47,7/9/14 18:48,"Single, but cohabiting with a significant other",1-5 years,Never,"Education, Training, and Library Occupations",Female,18-29,Did not disclose,Graduate degree,South Atlantic,1,1,0,5
671,7/9/14 18:47,7/9/14 18:47,Married,More than 20 years,Never,Community and Social Service Occupations,Male,45-60,Did not disclose,Graduate degree,South Atlantic,0,3,0,5
672,7/9/14 18:47,7/9/14 18:48,Married,6-10 years,Never,"Education, Training, and Library Occupations",Male,45-60,"$50,000 - $99,999",Graduate degree,Middle Atlantic,0,3,3,5
675,7/9/14 18:46,7/9/14 18:47,Married,More than 20 years,Never,Protective Service Occupations,Male,45-60,"$50,000 - $99,999",Some college or Associate degree,Middle Atlantic,0,3,3,3
677,7/9/14 18:46,7/9/14 18:47,Married,More than 20 years,Never,retired,Male,> 60,"$50,000 - $99,999",Some college or Associate degree,West North Central,0,4,3,3
678,7/9/14 18:45,7/9/14 18:46,Married,More than 20 years,Never,RETIRED,Male,> 60,"$100,000 - $149,999",Bachelor degree,East North Central,0,4,4,4
679,7/9/14 18:46,7/9/14 18:46,"Single, but cohabiting with a significant other",1-5 years,Never,Office and Administrative Support Occupations,Female,30-44,"$50,000 - $99,999",Graduate degree,Mountain,1,2,3,5
682,7/9/14 18:45,7/9/14 18:46,Married,More than 20 years,Never,Construction and Extraction Occupations,Male,> 60,"$50,000 - $99,999",Bachelor degree,West North Central,0,4,3,4
683,7/9/14 18:45,7/9/14 18:46,Married,More than 20 years,Never,"Arts, Design, Entertainment, Sports, and Media Occupations",Female,> 60,Did not disclose,Bachelor degree,New England,1,4,0,4
686,7/9/14 18:44,7/9/14 18:46,"Single, but cohabiting with a significant other",6-10 years,Never,Unemployed,Female,18-29,"$25,000 - $49,999",High school degree,Mountain,1,1,2,2
687,7/9/14 18:45,7/9/14 18:45,Married,More than 20 years,Never,retired,Did not disclose,Did not disclose,Did not disclose,Did not disclose,Did not disclose,2,0,0,0
689,7/9/14 18:40,7/9/14 18:47,Married,11-15 years,Never,"Arts, Design, Entertainment, Sports, and Media Occupations",Female,30-44,"$50,000 - $99,999",Bachelor degree,Pacific,1,2,3,4
690,7/9/14 18:44,7/9/14 18:45,Married,More than 20 years,Never,Architecture and Engineering Occupations,Male,> 60,"$100,000 - $149,999",Some college or Associate degree,New England,0,4,4,3
693,7/9/14 18:43,7/9/14 18:44,Married,More than 20 years,Never,retired,Male,> 60,Did not disclose,Graduate degree,South Atlantic,0,4,0,5
695,7/9/14 18:43,7/9/14 18:44,Married,11-15 years,Never,Retired,Male,> 60,"$50,000 - $99,999",Some college or Associate degree,New England,0,4,3,3
696,7/9/14 18:42,7/9/14 18:43,Married,More than 20 years,Never,Business and Financial Operations Occupations,Male,> 60,"$100,000 - $149,999",Graduate degree,Pacific,0,4,4,5
701,7/9/14 18:42,7/9/14 18:43,Married,16-20 years,Never,Computer and Mathematical Occupations,Male,45-60,"$100,000 - $149,999",Graduate degree,New England,0,3,4,5
702,7/9/14 18:42,7/9/14 18:43,Married,More than 20 years,Never,Retired,Male,> 60,Did not disclose,Graduate degree,Pacific,0,4,0,5
703,7/9/14 18:42,7/9/14 18:42,Married,6-10 years,Never,"Arts, Design, Entertainment, Sports, and Media Occupations",Female,30-44,"$150,000+",Graduate degree,Pacific,1,2,5,5
708,7/9/14 18:41,7/9/14 18:42,"Single, but cohabiting with a significant other",6-10 years,Never,Business and Financial Operations Occupations,Female,30-44,"$150,000+",Bachelor degree,East North Central,1,2,5,4
709,7/9/14 18:41,7/9/14 18:42,Married,6-10 years,Never,Healthcare Support Occupations,Male,18-29,"$50,000 - $99,999",Bachelor degree,East North Central,0,1,3,4
714,7/9/14 18:41,7/9/14 18:41,"Single, but cohabiting with a significant other",1-5 years,Never,"Arts, Design, Entertainment, Sports, and Media Occupations",Female,18-29,"$25,000 - $49,999",Bachelor degree,East North Central,1,1,2,4
715,7/9/14 18:41,7/9/14 18:42,"Single, but cohabiting with a significant other",1-5 years,Never,Education Non-Profit/National Service - teaching,Female,18-29,"$0 - $24,999",Bachelor degree,West South Central,1,1,1,4
716,7/9/14 18:41,7/9/14 18:41,Married,More than 20 years,Never,Retired,Male,> 60,"$50,000 - $99,999",Graduate degree,Middle Atlantic,0,4,3,5
718,7/9/14 18:40,7/9/14 18:41,"Single, but cohabiting with a significant other",Less than 1 year,Never,Building and Grounds Cleaning and Maintenance Occupations,Male,> 60,"$150,000+",Less than high school degree,West South Central,0,4,5,1
720,7/9/14 18:40,7/9/14 18:41,Married,More than 20 years,Never,Transportation and Materials Moving Occupations,Male,45-60,Did not disclose,Bachelor degree,Pacific,0,3,0,4
721,7/9/14 18:40,7/9/14 18:41,Married,More than 20 years,Never,homemaker,Female,45-60,"$25,000 - $49,999",Some college or Associate degree,East North Central,1,3,2,3
722,7/9/14 18:40,7/9/14 18:41,Married,11-15 years,Never,"Education, Training, and Library Occupations",Male,30-44,"$25,000 - $49,999",Graduate degree,South Atlantic,0,2,2,5
724,7/9/14 18:40,7/9/14 18:41,Married,More than 20 years,Never,Office and Administrative Support Occupations,Female,30-44,"$50,000 - $99,999",Bachelor degree,South Atlantic,1,2,3,4
726,7/9/14 18:39,7/9/14 18:40,Married,1-5 years,Never,Community and Social Service Occupations,Male,30-44,Did not disclose,Bachelor degree,Mountain,0,2,0,4
729,7/9/14 18:39,7/9/14 18:40,Married,16-20 years,Never,retired,Did not disclose,Did not disclose,Did not disclose,Did not disclose,Did not disclose,2,0,0,0
733,7/9/14 18:39,7/9/14 18:39,Married,11-15 years,Never,"Arts, Design, Entertainment, Sports, and Media Occupations",Male,> 60,"$50,000 - $99,999",Some college or Associate degree,East North Central,0,4,3,3
734,7/9/14 18:39,7/9/14 18:39,Married,1-5 years,Never,Management Occupations,Female,30-44,Did not disclose,Graduate degree,South Atlantic,1,2,0,5
736,7/9/14 18:38,7/9/14 18:39,"Single, but cohabiting with a significant other",6-10 years,Never,"Arts, Design, Entertainment, Sports, and Media Occupations",Male,30-44,"$25,000 - $49,999",Bachelor degree,Middle Atlantic,0,2,2,4
737,7/9/14 18:38,7/9/14 18:39,"Single, but cohabiting with a significant other",1-5 years,Never,Healthcare Support Occupations,Did not disclose,Did not disclose,Did not disclose,Did not disclose,Did not disclose,2,0,0,0
738,7/9/14 18:38,7/9/14 18:39,Married,More than 20 years,Never,Healthcare Support Occupations,Male,45-60,"$100,000 - $149,999",Graduate degree,Middle Atlantic,0,3,4,5
742,7/9/14 18:38,7/9/14 18:38,"Single, but cohabiting with a significant other",Less than 1 year,Never,Personal Care and Service Occupations,Female,> 60,"$50,000 - $99,999",High school degree,Middle Atlantic,1,4,3,2
743,7/9/14 18:37,7/9/14 18:39,Married,16-20 years,Never,Retired,Male,> 60,"$150,000+",Some college or Associate degree,West South Central,0,4,5,3
746,7/9/14 18:37,7/9/14 18:38,Married,More than 20 years,Never,Office and Administrative Support Occupations,Female,> 60,Did not disclose,Bachelor degree,East North Central,1,4,0,4
747,7/9/14 18:37,7/9/14 18:38,Married,6-10 years,Never,Healthcare Support Occupations,Female,30-44,"$50,000 - $99,999",High school degree,South Atlantic,1,2,3,2
749,7/9/14 18:37,7/9/14 18:38,Married,More than 20 years,Never,Healthcare Practitioners and Technical Occupations,Female,45-60,"$150,000+",Bachelor degree,Pacific,1,3,5,4
751,7/9/14 18:37,7/9/14 18:38,Married,More than 20 years,Never,Business and Financial Operations Occupations,Female,> 60,Did not disclose,Bachelor degree,Mountain,1,4,0,4
753,7/9/14 18:36,7/9/14 18:37,Married,More than 20 years,Never,retired,Male,> 60,"$100,000 - $149,999",Graduate degree,New England,0,4,4,5
754,7/9/14 18:36,7/9/14 18:37,Married,11-15 years,Never,Healthcare Support Occupations,Female,30-44,Did not disclose,Some college or Associate degree,East North Central,1,2,0,3
757,7/9/14 18:36,7/9/14 18:36,Married,6-10 years,Never,Management Occupations,Male,> 60,"$100,000 - $149,999",Some college or Associate degree,Middle Atlantic,0,4,4,3
759,7/9/14 18:35,7/9/14 18:36,Married,More than 20 years,Never,Management Occupations,Female,45-60,Did not disclose,Bachelor degree,Middle Atlantic,1,3,0,4
761,7/9/14 18:35,7/9/14 18:36,Married,6-10 years,Never,"Farming, Fishing, and Forestry Occupations",Female,30-44,"$50,000 - $99,999",Graduate degree,Middle Atlantic,1,2,3,5
765,7/9/14 18:35,7/9/14 18:37,Married,More than 20 years,Never,"Education, Training, and Library Occupations",Female,> 60,"$100,000 - $149,999",Graduate degree,Middle Atlantic,1,4,4,5
766,7/9/14 18:35,7/9/14 18:57,Married,More than 20 years,Never,bio-medical technician,Male,45-60,"$100,000 - $149,999",Some college or Associate degree,East North Central,0,3,4,3
767,7/9/14 18:34,7/9/14 18:36,Married,More than 20 years,Never,Computer and Mathematical Occupations,Male,45-60,Did not disclose,Some college or Associate degree,West North Central,0,3,0,3
768,7/9/14 18:35,7/9/14 18:36,Separated,More than 20 years,Never,Computer and Mathematical Occupations,Female,> 60,"$0 - $24,999",Some college or Associate degree,South Atlantic,1,4,1,3
771,7/9/14 18:35,7/9/14 18:37,"Single, but cohabiting with a significant other",1-5 years,Never,Sales and Related Occupations,Female,30-44,"$25,000 - $49,999",Some college or Associate degree,East South Central,1,2,2,3
772,7/9/14 18:35,7/9/14 18:35,Married,More than 20 years,Never,retired,Male,> 60,"$100,000 - $149,999",Graduate degree,Pacific,0,4,4,5
774,7/9/14 18:34,7/9/14 18:36,Married,16-20 years,Never,Community and Social Service Occupations,Male,45-60,"$50,000 - $99,999",Some college or Associate degree,Pacific,0,3,3,3
778,7/9/14 18:34,7/9/14 18:37,Married,11-15 years,Never,Office and Administrative Support Occupations,Female,45-60,Did not disclose,Graduate degree,South Atlantic,1,3,0,5
779,7/9/14 18:34,7/9/14 18:35,Married,More than 20 years,Never,Retired,Male,> 60,"$50,000 - $99,999",Graduate degree,East North Central,0,4,3,5
780,7/9/14 18:33,7/9/14 18:35,Married,More than 20 years,Never,Architecture and Engineering Occupations,Female,30-44,"$25,000 - $49,999",Bachelor degree,West South Central,1,2,2,4
785,7/9/14 18:33,7/9/14 18:35,Married,More than 20 years,Never,Community and Social Service Occupations,Did not disclose,Did not disclose,Did not disclose,Did not disclose,Did not disclose,2,0,0,0
786,7/9/14 18:33,7/9/14 18:34,Married,11-15 years,Never,Healthcare Practitioners and Technical Occupations,Female,45-60,"$150,000+",Graduate degree,South Atlantic,1,3,5,5
789,7/9/14 18:32,7/9/14 18:34,Married,More than 20 years,Never,Healthcare Practitioners and Technical Occupations,Male,> 60,"$100,000 - $149,999",Bachelor degree,West North Central,0,4,4,4
791,7/9/14 18:32,7/9/14 18:33,Married,1-5 years,Never,Unemployed,Female,30-44,Did not disclose,High school degree,Pacific,1,2,0,2
794,7/9/14 18:31,7/9/14 18:32,In a domestic partnership or civil union,1-5 years,Never,"Life, Physical, and Social Science Occupations",Female,18-29,"$0 - $24,999",Graduate degree,South Atlantic,1,1,1,5
797,7/9/14 18:27,7/9/14 18:31,Married,6-10 years,Never,"Education, Training, and Library Occupations",Female,18-29,"$50,000 - $99,999",Graduate degree,East North Central,1,1,3,5
798,7/9/14 18:30,7/9/14 18:32,Married,6-10 years,Never,Construction and Extraction Occupations,Male,45-60,"$50,000 - $99,999",High school degree,South Atlantic,0,3,3,2
799,7/9/14 18:30,7/9/14 18:31,Married,11-15 years,Never,Office and Administrative Support Occupations,Male,30-44,"$50,000 - $99,999",Some college or Associate degree,South Atlantic,0,2,3,3
802,7/9/14 18:29,7/9/14 18:31,Married,16-20 years,Never,Community and Social Service Occupations,Female,30-44,"$100,000 - $149,999",Graduate degree,West North Central,1,2,4,5
804,7/9/14 18:29,7/9/14 18:30,"Single, but cohabiting with a significant other",1-5 years,Never,Office and Administrative Support Occupations,Female,18-29,"$0 - $24,999",Bachelor degree,Mountain,1,1,1,4
805,7/9/14 18:29,7/9/14 18:30,Married,11-15 years,Never,Community and Social Service Occupations,Male,30-44,"$50,000 - $99,999",Bachelor degree,Mountain,0,2,3,4
806,7/9/14 18:29,7/9/14 18:30,In a domestic partnership or civil union,1-5 years,Never,"Arts, Design, Entertainment, Sports, and Media Occupations",Male,> 60,"$150,000+",Graduate degree,East North Central,0,4,5,5
807,7/9/14 18:29,7/9/14 18:30,Married,More than 20 years,Never,"Education, Training, and Library Occupations",Male,> 60,"$100,000 - $149,999",Graduate degree,Mountain,0,4,4,5
809,7/9/14 18:28,7/9/14 18:30,Married,1-5 years,Never,Business and Financial Operations Occupations,Female,18-29,"$100,000 - $149,999",Some college or Associate degree,Mountain,1,1,4,3
810,7/9/14 18:28,7/9/14 18:33,Married,More than 20 years,Never,Community and Social Service Occupations,Male,> 60,"$100,000 - $149,999",Bachelor degree,East North Central,0,4,4,4
811,7/9/14 18:29,7/9/14 18:29,"Single, but cohabiting with a significant other",1-5 years,Never,Sales and Related Occupations,Did not disclose,Did not disclose,Did not disclose,Did not disclose,Did not disclose,2,0,0,0
813,7/9/14 18:28,7/9/14 18:29,Married,16-20 years,Never,Computer and Mathematical Occupations,Male,45-60,"$100,000 - $149,999",Bachelor degree,West South Central,0,3,4,4
814,7/9/14 18:27,7/9/14 18:29,Married,16-20 years,Never,Management Occupations,Male,45-60,"$100,000 - $149,999",Some college or Associate degree,East South Central,0,3,4,3
815,7/9/14 18:27,7/9/14 18:28,Married,More than 20 years,Never,Sales and Related Occupations,Male,> 60,Did not disclose,Graduate degree,New England,0,4,0,5
816,7/9/14 18:27,7/9/14 18:28,In a domestic partnership or civil union,1-5 years,Never,Social science researcher,Female,18-29,Did not disclose,Bachelor degree,South Atlantic,1,1,0,4
819,7/9/14 18:27,7/9/14 18:28,"Single, but cohabiting with a significant other",1-5 years,Never,Sales and Related Occupations,Male,45-60,"$50,000 - $99,999",Some college or Associate degree,East North Central,0,3,3,3
821,7/9/14 18:27,7/9/14 18:27,Divorced,1-5 years,Never,"Education, Training, and Library Occupations",Female,> 60,"$150,000+",Graduate degree,South Atlantic,1,4,5,5
824,7/9/14 18:26,7/9/14 18:27,Married,More than 20 years,Never,"Education, Training, and Library Occupations",Male,> 60,"$50,000 - $99,999",Graduate degree,Middle Atlantic,0,4,3,5
825,7/9/14 18:26,7/9/14 18:28,Married,More than 20 years,Never,Healthcare Support Occupations,Female,45-60,"$100,000 - $149,999",Bachelor degree,East North Central,1,3,4,4
826,7/9/14 18:26,7/9/14 18:27,In a domestic partnership or civil union,6-10 years,Never,Management Occupations,Female,30-44,"$150,000+",Some college or Associate degree,South Atlantic,1,2,5,3
831,7/9/14 18:26,7/9/14 18:26,Married,16-20 years,Never,Business and Financial Operations Occupations,Male,45-60,"$100,000 - $149,999",Bachelor degree,East North Central,0,3,4,4
834,7/9/14 18:25,7/9/14 18:25,Married,16-20 years,Never,"Education, Training, and Library Occupations",Male,45-60,"$150,000+",Graduate degree,East North Central,0,3,5,5
838,7/9/14 18:24,7/9/14 18:25,"Single, but cohabiting with a significant other",Less than 1 year,Never,Carpentry,Male,18-29,Did not disclose,Less than high school degree,New England,0,1,0,1
839,7/9/14 18:23,7/9/14 18:25,Married,1-5 years,Never,Legal Occupations,Female,30-44,"$50,000 - $99,999",Some college or Associate degree,Middle Atlantic,1,2,3,3
840,7/9/14 18:24,7/9/14 18:25,Married,More than 20 years,Never,Healthcare Practitioners and Technical Occupations,Female,> 60,"$150,000+",Graduate degree,West South Central,1,4,5,5
843,7/9/14 18:24,7/9/14 18:25,Married,More than 20 years,Never,"Life, Physical, and Social Science Occupations",Male,45-60,"$50,000 - $99,999",Graduate degree,Mountain,0,3,3,5
846,7/9/14 18:24,7/9/14 18:25,In a domestic partnership or civil union,11-15 years,Never,"disabled,  unemployed",Female,45-60,"$25,000 - $49,999",Some college or Associate degree,East North Central,1,3,2,3
847,7/9/14 18:24,7/9/14 18:24,Married,More than 20 years,Never,"Education, Training, and Library Occupations",Female,45-60,"$50,000 - $99,999",Bachelor degree,South Atlantic,1,3,3,4
850,7/9/14 18:23,7/9/14 18:24,Married,6-10 years,Never,Healthcare Practitioners and Technical Occupations,Female,30-44,"$50,000 - $99,999",High school degree,South Atlantic,1,2,3,2
851,7/9/14 18:23,7/9/14 18:24,Married,6-10 years,Never,veterinary,Male,18-29,Did not disclose,Some college or Associate degree,Pacific,0,1,0,3
853,7/9/14 18:23,7/9/14 18:23,Married,6-10 years,Never,Office and Administrative Support Occupations,Did not disclose,Did not disclose,Did not disclose,Did not disclose,Did not disclose,2,0,0,0
854,7/9/14 18:23,7/9/14 18:23,Married,6-10 years,Never,Legal Occupations,Did not disclose,Did not disclose,Did not disclose,Did not disclose,Did not disclose,2,0,0,0
856,7/9/14 18:22,7/9/14 18:25,Married,More than 20 years,Never,Office and Administrative Support Occupations,Female,45-60,Did not disclose,High school degree,Middle Atlantic,1,3,0,2
857,7/9/14 18:23,7/9/14 18:24,"Single, but cohabiting with a significant other",1-5 years,Never,Management Occupations,Female,30-44,"$100,000 - $149,999",Bachelor degree,East North Central,1,2,4,4
858,7/9/14 18:22,7/9/14 18:23,Married,More than 20 years,Never,Management Occupations,Male,> 60,"$150,000+",Graduate degree,Pacific,0,4,5,5
860,7/9/14 18:22,7/9/14 18:22,Married,6-10 years,Never,Legal Occupations,Female,45-60,"$100,000 - $149,999",Some college or Associate degree,South Atlantic,1,3,4,3
863,7/9/14 18:21,7/9/14 18:22,Married,More than 20 years,Never,Management Occupations,Male,45-60,"$150,000+",Graduate degree,East North Central,0,3,5,5
864,7/9/14 18:21,7/9/14 18:22,"Single, but cohabiting with a significant other",Less than 1 year,Never,Did not disclose,Did not disclose,Did not disclose,Did not disclose,Did not disclose,Did not disclose,2,0,0,0
865,7/9/14 18:21,7/9/14 18:22,"Single, but cohabiting with a significant other",1-5 years,Never,Airlines,Male,18-29,"$25,000 - $49,999",Bachelor degree,West South Central,0,1,2,4
866,7/9/14 18:21,7/9/14 18:22,Married,More than 20 years,Never,"Education, Training, and Library Occupations",Female,> 60,Did not disclose,Some college or Associate degree,West South Central,1,4,0,3
867,7/9/14 18:21,7/9/14 18:22,Married,More than 20 years,Never,"Education, Training, and Library Occupations",Female,> 60,"$150,000+",Graduate degree,East North Central,1,4,5,5
869,7/9/14 18:20,7/9/14 18:21,Married,6-10 years,Never,Architecture and Engineering Occupations,Female,> 60,"$0 - $24,999",High school degree,Middle Atlantic,1,4,1,2
873,7/9/14 18:19,7/9/14 18:20,"Single, but cohabiting with a significant other",1-5 years,Never,unemployed,Female,30-44,"$25,000 - $49,999",Some college or Associate degree,West South Central,1,2,2,3
875,7/9/14 18:19,7/9/14 18:20,Married,11-15 years,Never,Retired,Male,> 60,"$50,000 - $99,999",Graduate degree,South Atlantic,0,4,3,5
879,7/9/14 18:18,7/9/14 18:20,Married,11-15 years,Never,Retired,Male,> 60,"$100,000 - $149,999",Bachelor degree,Middle Atlantic,0,4,4,4
882,7/9/14 18:18,7/9/14 18:21,Married,6-10 years,Never,Planning,Male,18-29,"$50,000 - $99,999",Bachelor degree,West South Central,0,1,3,4
884,7/9/14 18:18,7/9/14 18:19,Married,16-20 years,Never,Architecture and Engineering Occupations,Male,45-60,"$50,000 - $99,999",Graduate degree,East North Central,0,3,3,5
886,7/9/14 18:17,7/9/14 18:18,"Single, but cohabiting with a significant other",Less than 1 year,Never,Sales and Related Occupations,Female,18-29,"$0 - $24,999",Some college or Associate degree,East South Central,1,1,1,3
890,7/9/14 18:16,7/9/14 18:17,"Single, but cohabiting with a significant other",Less than 1 year,Never,Food Preparation and Serving Related Occupations,Female,18-29,Did not disclose,Bachelor degree,Middle Atlantic,1,1,0,4
891,7/9/14 18:16,7/9/14 18:16,Married,More than 20 years,Never,"Life, Physical, and Social Science Occupations",Female,45-60,Did not disclose,Graduate degree,Mountain,1,3,0,5
893,7/9/14 18:15,7/9/14 18:16,Married,11-15 years,Never,Legal Occupations,Male,45-60,"$150,000+",Graduate degree,South Atlantic,0,3,5,5
894,7/9/14 18:15,7/9/14 18:16,Married,More than 20 years,Never,retired,Female,> 60,Did not disclose,Bachelor degree,Middle Atlantic,1,4,0,4
895,7/9/14 18:15,7/9/14 18:16,"Single, but cohabiting with a significant other",6-10 years,Never,Management Occupations,Male,30-44,"$100,000 - $149,999",Some college or Associate degree,Mountain,0,2,4,3
897,7/9/14 18:15,7/9/14 18:15,Married,11-15 years,Never,Office and Administrative Support Occupations,Female,45-60,"$100,000 - $149,999",Some college or Associate degree,New England,1,3,4,3
899,7/9/14 18:14,7/9/14 18:15,In a domestic partnership or civil union,Less than 1 year,Never,"Education, Training, and Library Occupations",Female,18-29,"$100,000 - $149,999",Graduate degree,Pacific,1,1,4,5
900,7/9/14 18:14,7/9/14 18:15,"Single, but cohabiting with a significant other",1-5 years,Never,Office and Administrative Support Occupations,Female,18-29,"$50,000 - $99,999",Bachelor degree,Middle Atlantic,1,1,3,4
901,7/9/14 18:14,7/9/14 18:15,Married,16-20 years,Never,Management Occupations,Female,45-60,"$100,000 - $149,999",Bachelor degree,Pacific,1,3,4,4
905,7/9/14 18:13,7/9/14 18:14,Married,16-20 years,Never,Computer and Mathematical Occupations,Male,> 60,"$100,000 - $149,999",Graduate degree,Pacific,0,4,4,5
907,7/9/14 18:13,7/9/14 18:14,Married,11-15 years,Never,Healthcare Practitioners and Technical Occupations,Female,30-44,"$100,000 - $149,999",Graduate degree,East South Central,1,2,4,5
908,7/9/14 18:13,7/9/14 18:14,Married,More than 20 years,Never,Management Occupations,Male,> 60,"$0 - $24,999",Some college or Associate degree,Mountain,0,4,1,3
