,CurrentRelationshipStatus,RelationshipLength,Frequency in separate beds,Occupation,Gender,Age,Household income,Education,Location,Gender_code,Age_code,Household income_code,Education_code,RelationshipLength_code,Frequency in separate beds_code,sleep together?
549,Married,6-10 years,Once a year or less,"Education, Training, and Library Occupations",Male,30-44,"$100,000 - $149,999",Graduate degree,East North Central,0,2,4,5,2.0,1.0,0.0
550,Married,11-15 years,Never,Retired from medical device clinical trials but do consulting,Female,> 60,"$150,000+",Graduate degree,East North Central,1,4,5,5,3.0,0.0,1.0
551,Married,6-10 years,Every night,"Education, Training, and Library Occupations",Female,45-60,"$100,000 - $149,999",Graduate degree,West North Central,1,3,4,5,2.0,5.0,0.0
552,Married,More than 20 years,Once a year or less,homemaker,Female,45-60,Did not disclose,Bachelor degree,Middle Atlantic,1,3,0,4,5.0,1.0,0.0
553,Married,More than 20 years,Every night,Legal Occupations,Male,> 60,"$150,000+",Graduate degree,East South Central,0,4,5,5,5.0,5.0,0.0
554,Married,More than 20 years,Never,Management Occupations,Male,> 60,"$100,000 - $149,999",Bachelor degree,West North Central,0,4,4,4,5.0,0.0,1.0
555,Married,More than 20 years,Every night,Sales and Related Occupations,Male,45-60,"$100,000 - $149,999",Some college or Associate degree,Mountain,0,3,4,3,5.0,5.0,0.0
556,Married,More than 20 years,Never,"Education, Training, and Library Occupations",Male,> 60,Did not disclose,Graduate degree,Middle Atlantic,0,4,0,5,5.0,0.0,1.0
557,Married,,,Did not disclose,Did not disclose,Did not disclose,Did not disclose,Did not disclose,Did not disclose,2,0,0,0,,,
558,Married,More than 20 years,Never,Investment management,Male,> 60,"$150,000+",Bachelor degree,South Atlantic,0,4,5,4,5.0,0.0,1.0
559,Married,More than 20 years,Never,Healthcare Practitioners and Technical Occupations,Female,45-60,"$100,000 - $149,999",Some college or Associate degree,Middle Atlantic,1,3,4,3,5.0,0.0,1.0
560,Married,More than 20 years,Never,retired/volunteer,Female,> 60,Did not disclose,Graduate degree,New England,1,4,0,5,5.0,0.0,1.0
561,Married,11-15 years,Every night,retired,Male,> 60,"$100,000 - $149,999",Graduate degree,West South Central,0,4,4,5,3.0,5.0,0.0
562,Married,11-15 years,Never,Safety and Occupational Health,Male,> 60,"$50,000 - $99,999",Graduate degree,West North Central,0,4,3,5,3.0,0.0,1.0
563,Married,1-5 years,Once a month or less,Food Preparation and Serving Related Occupations,Female,18-29,"$25,000 - $49,999",Some college or Associate degree,Middle Atlantic,1,1,2,3,1.0,2.0,0.0
564,Married,More than 20 years,Never,Retired!,Male,> 60,"$50,000 - $99,999",Bachelor degree,Pacific,0,4,3,4,5.0,0.0,1.0
565,Married,More than 20 years,Every night,disabled,Female,30-44,"$50,000 - $99,999",Bachelor degree,East North Central,1,2,3,4,5.0,5.0,0.0
566,Married,11-15 years,Never,Production Occupations,Female,30-44,"$100,000 - $149,999",Bachelor degree,Pacific,1,2,4,4,3.0,0.0,1.0
567,Married,More than 20 years,Never,Commercial real estate,Male,> 60,"$150,000+",Graduate degree,Middle Atlantic,0,4,5,5,5.0,0.0,1.0
568,Married,More than 20 years,Never,Production Occupations,Male,45-60,"$100,000 - $149,999",Some college or Associate degree,East South Central,0,3,4,3,5.0,0.0,1.0
569,Married,More than 20 years,A few times per month,"Education, Training, and Library Occupations",Male,45-60,"$50,000 - $99,999",Bachelor degree,East South Central,0,3,3,4,5.0,3.0,0.0
570,Married,11-15 years,A few times per week,"Education, Training, and Library Occupations",Female,30-44,"$50,000 - $99,999",Graduate degree,East North Central,1,2,3,5,3.0,4.0,0.0
571,Married,More than 20 years,Never,Business and Financial Operations Occupations,Female,> 60,Did not disclose,High school degree,Middle Atlantic,1,4,0,2,5.0,0.0,1.0
572,Married,More than 20 years,Never,"Arts, Design, Entertainment, Sports, and Media Occupations",Did not disclose,Did not disclose,Did not disclose,Did not disclose,Did not disclose,2,0,0,0,5.0,0.0,1.0
573,Married,16-20 years,Never,Architecture and Engineering Occupations,Male,30-44,"$150,000+",Bachelor degree,New England,0,2,5,4,4.0,0.0,1.0
574,Married,16-20 years,Once a year or less,Transportation and Materials Moving Occupations,Male,45-60,"$50,000 - $99,999",Some college or Associate degree,Mountain,0,3,3,3,4.0,1.0,0.0
575,"Single, but cohabiting with a significant other",Less than 1 year,Once a month or less,Office and Administrative Support Occupations,Male,30-44,"$50,000 - $99,999",Bachelor degree,West South Central,0,2,3,4,0.0,2.0,0.0
576,Married,More than 20 years,Never,Healthcare Support Occupations,Female,30-44,Did not disclose,Some college or Associate degree,South Atlantic,1,2,0,3,5.0,0.0,1.0
577,Married,More than 20 years,Never,retired,Female,> 60,"$50,000 - $99,999",High school degree,West North Central,1,4,3,2,5.0,0.0,1.0
578,Married,More than 20 years,Never,Management Occupations,Male,> 60,"$50,000 - $99,999",Bachelor degree,New England,0,4,3,4,5.0,0.0,1.0
579,Married,1-5 years,Never,Computer and Mathematical Occupations,Male,18-29,"$50,000 - $99,999",Bachelor degree,West North Central,0,1,3,4,1.0,0.0,1.0
580,Married,More than 20 years,A few times per month,"Education, Training, and Library Occupations",Female,45-60,Did not disclose,Graduate degree,New England,1,3,0,5,5.0,3.0,0.0
581,Married,More than 20 years,Never,Homemaker,Female,45-60,"$50,000 - $99,999",High school degree,South Atlantic,1,3,3,2,5.0,0.0,1.0
582,Married,More than 20 years,Never,"Arts, Design, Entertainment, Sports, and Media Occupations",Female,45-60,"$0 - $24,999",Bachelor degree,South Atlantic,1,3,1,4,5.0,0.0,1.0
583,Married,,,Did not disclose,Did not disclose,Did not disclose,Did not disclose,Did not disclose,Did not disclose,2,0,0,0,,,
584,Married,6-10 years,Once a year or less,"Arts, Design, Entertainment, Sports, and Media Occupations",Male,30-44,"$100,000 - $149,999",Bachelor degree,Pacific,0,2,4,4,2.0,1.0,0.0
585,Married,More than 20 years,Never,boatbuilder repair,Male,> 60,Did not disclose,Some college or Associate degree,New England,0,4,0,3,5.0,0.0,1.0
586,Married,16-20 years,Every night,Healthcare Practitioners and Technical Occupations,Female,30-44,"$100,000 - $149,999",Bachelor degree,East South Central,1,2,4,4,4.0,5.0,0.0
587,Married,1-5 years,Every night,Currently a stay-at-home mother,Female,30-44,Did not disclose,Graduate degree,Middle Atlantic,1,2,0,5,1.0,5.0,0.0
588,Married,More than 20 years,Once a month or less,Sales and Related Occupations,Female,45-60,Did not disclose,High school degree,South Atlantic,1,3,0,2,5.0,2.0,0.0
589,"Single, but cohabiting with a significant other",11-15 years,Once a year or less,"Education, Training, and Library Occupations",Female,30-44,"$25,000 - $49,999",Bachelor degree,Pacific,1,2,2,4,3.0,1.0,0.0
590,Divorced,Less than 1 year,Never,"Education, Training, and Library Occupations",Male,30-44,"$0 - $24,999",Bachelor degree,Pacific,0,2,1,4,0.0,0.0,1.0
591,Married,More than 20 years,Once a year or less,government,Female,45-60,"$150,000+",Some college or Associate degree,New England,1,3,5,3,5.0,1.0,0.0
592,Married,16-20 years,Once a month or less,"Education, Training, and Library Occupations",Female,> 60,"$50,000 - $99,999",Graduate degree,New England,1,4,3,5,4.0,2.0,0.0
593,Married,6-10 years,Never,Architecture and Engineering Occupations,Male,> 60,"$50,000 - $99,999",Some college or Associate degree,East North Central,0,4,3,3,2.0,0.0,1.0
594,Divorced,11-15 years,Once a month or less,Healthcare Support Occupations,Female,30-44,"$100,000 - $149,999",Graduate degree,South Atlantic,1,2,4,5,3.0,2.0,0.0
595,Married,More than 20 years,Every night,"Education, Training, and Library Occupations",Female,45-60,"$100,000 - $149,999",Graduate degree,East South Central,1,3,4,5,5.0,5.0,0.0
596,Married,More than 20 years,Once a year or less,"Education, Training, and Library Occupations",Female,> 60,"$100,000 - $149,999",Graduate degree,Pacific,1,4,4,5,5.0,1.0,0.0
597,Married,More than 20 years,Never,"Life, Physical, and Social Science Occupations",Male,> 60,"$50,000 - $99,999",Graduate degree,New England,0,4,3,5,5.0,0.0,1.0
598,Married,More than 20 years,Never,Architecture and Engineering Occupations,Male,> 60,"$50,000 - $99,999",Graduate degree,Mountain,0,4,3,5,5.0,0.0,1.0
599,Married,More than 20 years,Once a year or less,interior design,Female,45-60,Did not disclose,Bachelor degree,New England,1,3,0,4,5.0,1.0,0.0
600,In a domestic partnership or civil union,More than 20 years,Once a year or less,Production Occupations,Did not disclose,Did not disclose,Did not disclose,Did not disclose,Did not disclose,2,0,0,0,5.0,1.0,0.0
601,Married,More than 20 years,Never,Retired1,Male,> 60,"$25,000 - $49,999",Bachelor degree,Middle Atlantic,0,4,2,4,5.0,0.0,1.0
602,Married,6-10 years,A few times per month,Food Preparation and Serving Related Occupations,Male,30-44,"$0 - $24,999",High school degree,Did not disclose,0,2,1,2,2.0,3.0,0.0
603,Married,More than 20 years,Once a year or less,"Education, Training, and Library Occupations",Female,> 60,"$100,000 - $149,999",Graduate degree,Pacific,1,4,4,5,5.0,1.0,0.0
604,Married,More than 20 years,Once a year or less,"Education, Training, and Library Occupations",Female,> 60,Did not disclose,Bachelor degree,Pacific,1,4,0,4,5.0,1.0,0.0
605,Married,More than 20 years,Once a year or less,Healthcare Practitioners and Technical Occupations,Female,45-60,Did not disclose,Bachelor degree,Pacific,1,3,0,4,5.0,1.0,0.0
606,Married,16-20 years,Never,"Education, Training, and Library Occupations",Male,45-60,Did not disclose,Some college or Associate degree,East North Central,0,3,0,3,4.0,0.0,1.0
607,"Single, but cohabiting with a significant other",1-5 years,Never,Architecture and Engineering Occupations,Male,18-29,"$0 - $24,999",Some college or Associate degree,West South Central,0,1,1,3,1.0,0.0,1.0
608,Married,More than 20 years,Never,Business and Financial Operations Occupations,Did not disclose,Did not disclose,Did not disclose,Did not disclose,Did not disclose,2,0,0,0,5.0,0.0,1.0
609,Married,More than 20 years,Never,Healthcare Practitioners and Technical Occupations,Female,45-60,Did not disclose,Some college or Associate degree,East North Central,1,3,0,3,5.0,0.0,1.0
610,"Single, but cohabiting with a significant other",1-5 years,Once a month or less,Personal Care and Service Occupations,Female,45-60,"$25,000 - $49,999",Some college or Associate degree,Middle Atlantic,1,3,2,3,1.0,2.0,0.0
611,Married,More than 20 years,Never,Business and Financial Operations Occupations,Male,> 60,Did not disclose,Bachelor degree,Middle Atlantic,0,4,0,4,5.0,0.0,1.0
612,Married,1-5 years,Never,"Life, Physical, and Social Science Occupations",Female,18-29,"$25,000 - $49,999",Graduate degree,Mountain,1,1,2,5,1.0,0.0,1.0
613,Married,11-15 years,Never,Product development,Did not disclose,Did not disclose,Did not disclose,Did not disclose,Did not disclose,2,0,0,0,3.0,0.0,1.0
614,"Single, but cohabiting with a significant other",11-15 years,Every night,Law enforcement,Female,45-60,"$50,000 - $99,999",Some college or Associate degree,South Atlantic,1,3,3,3,3.0,5.0,0.0
615,Married,More than 20 years,Never,Office and Administrative Support Occupations,Female,45-60,"$100,000 - $149,999",High school degree,East North Central,1,3,4,2,5.0,0.0,1.0
616,Married,More than 20 years,Never,retired,Female,> 60,"$25,000 - $49,999",Graduate degree,Middle Atlantic,1,4,2,5,5.0,0.0,1.0
617,Married,More than 20 years,Once a year or less,Sales and Related Occupations,Female,> 60,"$25,000 - $49,999",High school degree,West North Central,1,4,2,2,5.0,1.0,0.0
618,In a domestic partnership or civil union,6-10 years,Once a year or less,"Life, Physical, and Social Science Occupations",Female,30-44,Did not disclose,Graduate degree,Pacific,1,2,0,5,2.0,1.0,0.0
619,Married,More than 20 years,Once a month or less,"Life, Physical, and Social Science Occupations",Female,30-44,Did not disclose,Graduate degree,Middle Atlantic,1,2,0,5,5.0,2.0,0.0
620,"Single, but cohabiting with a significant other",6-10 years,Once a year or less,Business and Financial Operations Occupations,Female,45-60,Did not disclose,Graduate degree,East North Central,1,3,0,5,2.0,1.0,0.0
621,Married,More than 20 years,Once a year or less,Computer and Mathematical Occupations,Male,> 60,Did not disclose,Graduate degree,Mountain,0,4,0,5,5.0,1.0,0.0
622,In a domestic partnership or civil union,More than 20 years,Once a year or less,TEXTILES,Female,30-44,"$25,000 - $49,999",Some college or Associate degree,South Atlantic,1,2,2,3,5.0,1.0,0.0
623,"Single, but cohabiting with a significant other",1-5 years,Never,Healthcare Support Occupations,Female,18-29,Did not disclose,Bachelor degree,Middle Atlantic,1,1,0,4,1.0,0.0,1.0
624,Married,11-15 years,Never,Management Occupations,Male,> 60,"$150,000+",Graduate degree,East North Central,0,4,5,5,3.0,0.0,1.0
625,Married,11-15 years,Never,Computer and Mathematical Occupations,Male,30-44,"$150,000+",Bachelor degree,Middle Atlantic,0,2,5,4,3.0,0.0,1.0
626,Married,More than 20 years,Never,"Education, Training, and Library Occupations",Female,45-60,"$100,000 - $149,999",Graduate degree,Middle Atlantic,1,3,4,5,5.0,0.0,1.0
627,Married,More than 20 years,A few times per week,Sales and Related Occupations,Male,> 60,"$100,000 - $149,999",Bachelor degree,East North Central,0,4,4,4,5.0,4.0,0.0
628,Married,16-20 years,Every night,"Farming, Fishing, and Forestry Occupations",Female,45-60,"$25,000 - $49,999",Some college or Associate degree,East North Central,1,3,2,3,4.0,5.0,0.0
629,Married,11-15 years,Never,Information Technology,Male,45-60,"$50,000 - $99,999",Bachelor degree,West North Central,0,3,3,4,3.0,0.0,1.0
630,Married,11-15 years,Never,Community and Social Service Occupations,Male,30-44,"$100,000 - $149,999",Bachelor degree,Pacific,0,2,4,4,3.0,0.0,1.0
631,Married,16-20 years,Once a year or less,Office and Administrative Support Occupations,Female,30-44,Did not disclose,Bachelor degree,Middle Atlantic,1,2,0,4,4.0,1.0,0.0
632,Married,More than 20 years,Never,Transportation and Materials Moving Occupations,Male,45-60,"$100,000 - $149,999",Bachelor degree,Middle Atlantic,0,3,4,4,5.0,0.0,1.0
633,Married,More than 20 years,Once a month or less,Office and Administrative Support Occupations,Female,> 60,"$100,000 - $149,999",Graduate degree,Pacific,1,4,4,5,5.0,2.0,0.0
634,Married,More than 20 years,Never,Avocational job-shop (machinist),Male,> 60,Did not disclose,Some college or Associate degree,West South Central,0,4,0,3,5.0,0.0,1.0
635,Married,16-20 years,Once a year or less,Sales and Related Occupations,Female,45-60,"$50,000 - $99,999",Bachelor degree,East North Central,1,3,3,4,4.0,1.0,0.0
636,Married,More than 20 years,Never,retired,Male,> 60,"$50,000 - $99,999",Bachelor degree,South Atlantic,0,4,3,4,5.0,0.0,1.0
637,Married,More than 20 years,Never,Architecture and Engineering Occupations,Male,45-60,Did not disclose,Bachelor degree,East North Central,0,3,0,4,5.0,0.0,1.0
638,Married,11-15 years,Never,Domestic specialist,Female,30-44,"$0 - $24,999",Bachelor degree,West North Central,1,2,1,4,3.0,0.0,1.0
639,Married,More than 20 years,Never,retired,Male,> 60,"$25,000 - $49,999",Bachelor degree,East North Central,0,4,2,4,5.0,0.0,1.0
640,Married,More than 20 years,Every night,"Education, Training, and Library Occupations",Female,45-60,"$25,000 - $49,999",Bachelor degree,South Atlantic,1,3,2,4,5.0,5.0,0.0
641,Married,,,Did not disclose,Did not disclose,Did not disclose,Did not disclose,Did not disclose,Did not disclose,2,0,0,0,,,
642,Married,1-5 years,Once a year or less,Healthcare Practitioners and Technical Occupations,Female,18-29,"$0 - $24,999",Bachelor degree,New England,1,1,1,4,1.0,1.0,0.0
643,Married,More than 20 years,Never,Manufacturing,Male,45-60,"$100,000 - $149,999",Some college or Associate degree,Mountain,0,3,4,3,5.0,0.0,1.0
644,Married,6-10 years,Once a month or less,Office and Administrative Support Occupations,Female,45-60,"$100,000 - $149,999",Some college or Associate degree,West North Central,1,3,4,3,2.0,2.0,0.0
645,In a domestic partnership or civil union,11-15 years,Never,"Education, Training, and Library Occupations",Female,30-44,"$25,000 - $49,999",Some college or Associate degree,Middle Atlantic,1,2,2,3,3.0,0.0,1.0
646,Married,More than 20 years,Never,Retired,Female,> 60,Did not disclose,Some college or Associate degree,New England,1,4,0,3,5.0,0.0,1.0
647,Married,More than 20 years,Once a month or less,Office and Administrative Support Occupations,Female,45-60,"$50,000 - $99,999",Some college or Associate degree,East North Central,1,3,3,3,5.0,2.0,0.0
648,In a domestic partnership or civil union,More than 20 years,Never,"Life, Physical, and Social Science Occupations",Female,> 60,Did not disclose,Did not disclose,Middle Atlantic,1,4,0,0,5.0,0.0,1.0
649,Divorced,1-5 years,Never,Gas attendant.,Male,> 60,"$0 - $24,999",Some college or Associate degree,Middle Atlantic,0,4,1,3,1.0,0.0,1.0
650,Married,More than 20 years,Every night,Sales and Related Occupations,Male,> 60,"$25,000 - $49,999",Some college or Associate degree,East North Central,0,4,2,3,5.0,5.0,0.0
651,Married,More than 20 years,Once a month or less,Healthcare Support Occupations,Female,> 60,"$100,000 - $149,999",Graduate degree,Middle Atlantic,1,4,4,5,5.0,2.0,0.0
652,Married,More than 20 years,Never,"Life, Physical, and Social Science Occupations",Male,45-60,"$50,000 - $99,999",Bachelor degree,South Atlantic,0,3,3,4,5.0,0.0,1.0
653,Married,More than 20 years,Never,retired,Male,45-60,"$50,000 - $99,999",Some college or Associate degree,Middle Atlantic,0,3,3,3,5.0,0.0,1.0
654,Married,1-5 years,Never,Computer and Mathematical Occupations,Female,18-29,"$100,000 - $149,999",Bachelor degree,South Atlantic,1,1,4,4,1.0,0.0,1.0
655,Married,16-20 years,A few times per month,Healthcare Support Occupations,Male,45-60,"$25,000 - $49,999",Some college or Associate degree,Pacific,0,3,2,3,4.0,3.0,0.0
656,Married,More than 20 years,Every night,retired,Male,> 60,"$50,000 - $99,999",Bachelor degree,Pacific,0,4,3,4,5.0,5.0,0.0
657,"Single, but cohabiting with a significant other",16-20 years,Never,Healthcare Practitioners and Technical Occupations,Female,> 60,"$50,000 - $99,999",Some college or Associate degree,East North Central,1,4,3,3,4.0,0.0,1.0
658,Married,6-10 years,Once a month or less,"Installation, Maintenance, and Repair Occupations",Male,30-44,"$50,000 - $99,999",Some college or Associate degree,New England,0,2,3,3,2.0,2.0,0.0
659,Married,More than 20 years,Once a month or less,Religious Education,Female,30-44,"$100,000 - $149,999",Graduate degree,East North Central,1,2,4,5,5.0,2.0,0.0
660,Married,16-20 years,Every night,DISBLED,Did not disclose,Did not disclose,Did not disclose,Did not disclose,Did not disclose,2,0,0,0,4.0,5.0,0.0
661,Married,More than 20 years,Never,Sales and Related Occupations,Male,> 60,"$150,000+",Graduate degree,New England,0,4,5,5,5.0,0.0,1.0
662,Married,More than 20 years,Once a year or less,Retired,Male,> 60,"$50,000 - $99,999",Bachelor degree,Pacific,0,4,3,4,5.0,1.0,0.0
663,Married,16-20 years,Never,Translator and editor,Female,> 60,Did not disclose,Graduate degree,Middle Atlantic,1,4,0,5,4.0,0.0,1.0
664,Married,11-15 years,Every night,Legal Occupations,Female,30-44,"$50,000 - $99,999",Graduate degree,East North Central,1,2,3,5,3.0,5.0,0.0
665,Married,More than 20 years,Never,A/V Consultant,Male,45-60,Did not disclose,Some college or Associate degree,South Atlantic,0,3,0,3,5.0,0.0,1.0
666,Married,More than 20 years,Once a year or less,"Education, Training, and Library Occupations",Female,45-60,"$50,000 - $99,999",Graduate degree,Middle Atlantic,1,3,3,5,5.0,1.0,0.0
667,Married,More than 20 years,Never,"Arts, Design, Entertainment, Sports, and Media Occupations",Male,45-60,"$100,000 - $149,999",Bachelor degree,New England,0,3,4,4,5.0,0.0,1.0
668,"Single, but cohabiting with a significant other",1-5 years,Once a year or less,Research,Female,18-29,"$50,000 - $99,999",Bachelor degree,Middle Atlantic,1,1,3,4,1.0,1.0,0.0
669,Married,6-10 years,Every night,"Education, Training, and Library Occupations",Female,30-44,"$50,000 - $99,999",Graduate degree,West North Central,1,2,3,5,2.0,5.0,0.0
670,"Single, but cohabiting with a significant other",1-5 years,Never,"Education, Training, and Library Occupations",Female,18-29,Did not disclose,Graduate degree,South Atlantic,1,1,0,5,1.0,0.0,1.0
671,Married,More than 20 years,Never,Community and Social Service Occupations,Male,45-60,Did not disclose,Graduate degree,South Atlantic,0,3,0,5,5.0,0.0,1.0
672,Married,6-10 years,Never,"Education, Training, and Library Occupations",Male,45-60,"$50,000 - $99,999",Graduate degree,Middle Atlantic,0,3,3,5,2.0,0.0,1.0
673,Married,More than 20 years,Once a year or less,"Education, Training, and Library Occupations",Female,> 60,"$100,000 - $149,999",Bachelor degree,Middle Atlantic,1,4,4,4,5.0,1.0,0.0
674,Married,More than 20 years,Every night,RETIRED,Male,> 60,"$50,000 - $99,999",Bachelor degree,East North Central,0,4,3,4,5.0,5.0,0.0
675,Married,More than 20 years,Never,Protective Service Occupations,Male,45-60,"$50,000 - $99,999",Some college or Associate degree,Middle Atlantic,0,3,3,3,5.0,0.0,1.0
676,Married,More than 20 years,A few times per month,"Arts, Design, Entertainment, Sports, and Media Occupations",Female,45-60,"$100,000 - $149,999",Graduate degree,Middle Atlantic,1,3,4,5,5.0,3.0,0.0
677,Married,More than 20 years,Never,retired,Male,> 60,"$50,000 - $99,999",Some college or Associate degree,West North Central,0,4,3,3,5.0,0.0,1.0
678,Married,More than 20 years,Never,RETIRED,Male,> 60,"$100,000 - $149,999",Bachelor degree,East North Central,0,4,4,4,5.0,0.0,1.0
679,"Single, but cohabiting with a significant other",1-5 years,Never,Office and Administrative Support Occupations,Female,30-44,"$50,000 - $99,999",Graduate degree,Mountain,1,2,3,5,1.0,0.0,1.0
680,Married,1-5 years,Once a month or less,Architecture and Engineering Occupations,Female,18-29,"$25,000 - $49,999",Bachelor degree,East North Central,1,1,2,4,1.0,2.0,0.0
681,Married,More than 20 years,A few times per month,retired,Male,> 60,"$100,000 - $149,999",Graduate degree,West North Central,0,4,4,5,5.0,3.0,0.0
682,Married,More than 20 years,Never,Construction and Extraction Occupations,Male,> 60,"$50,000 - $99,999",Bachelor degree,West North Central,0,4,3,4,5.0,0.0,1.0
683,Married,More than 20 years,Never,"Arts, Design, Entertainment, Sports, and Media Occupations",Female,> 60,Did not disclose,Bachelor degree,New England,1,4,0,4,5.0,0.0,1.0
684,Married,More than 20 years,Every night,Management Occupations,Male,45-60,Did not disclose,Bachelor degree,Middle Atlantic,0,3,0,4,5.0,5.0,0.0
685,Married,16-20 years,A few times per week,Healthcare Practitioners and Technical Occupations,Female,45-60,"$150,000+",Graduate degree,South Atlantic,1,3,5,5,4.0,4.0,0.0
686,"Single, but cohabiting with a significant other",6-10 years,Never,Unemployed,Female,18-29,"$25,000 - $49,999",High school degree,Mountain,1,1,2,2,2.0,0.0,1.0
687,Married,More than 20 years,Never,retired,Did not disclose,Did not disclose,Did not disclose,Did not disclose,Did not disclose,2,0,0,0,5.0,0.0,1.0
688,Married,6-10 years,Once a year or less,Office and Administrative Support Occupations,Male,30-44,"$50,000 - $99,999",Some college or Associate degree,West South Central,0,2,3,3,2.0,1.0,0.0
689,Married,11-15 years,Never,"Arts, Design, Entertainment, Sports, and Media Occupations",Female,30-44,"$50,000 - $99,999",Bachelor degree,Pacific,1,2,3,4,3.0,0.0,1.0
690,Married,More than 20 years,Never,Architecture and Engineering Occupations,Male,> 60,"$100,000 - $149,999",Some college or Associate degree,New England,0,4,4,3,5.0,0.0,1.0
691,Married,11-15 years,Once a year or less,Sales and Related Occupations,Female,30-44,"$100,000 - $149,999",Some college or Associate degree,Middle Atlantic,1,2,4,3,3.0,1.0,0.0
692,Married,1-5 years,Once a month or less,Business and Financial Operations Occupations,Female,18-29,Did not disclose,Bachelor degree,West South Central,1,1,0,4,1.0,2.0,0.0
693,Married,More than 20 years,Never,retired,Male,> 60,Did not disclose,Graduate degree,South Atlantic,0,4,0,5,5.0,0.0,1.0
694,Married,16-20 years,Every night,DISABLED,Female,> 60,"$25,000 - $49,999",Some college or Associate degree,South Atlantic,1,4,2,3,4.0,5.0,0.0
695,Married,11-15 years,Never,Retired,Male,> 60,"$50,000 - $99,999",Some college or Associate degree,New England,0,4,3,3,3.0,0.0,1.0
696,Married,More than 20 years,Never,Business and Financial Operations Occupations,Male,> 60,"$100,000 - $149,999",Graduate degree,Pacific,0,4,4,5,5.0,0.0,1.0
697,"Single, but cohabiting with a significant other",6-10 years,Once a year or less,Computer and Mathematical Occupations,Male,30-44,"$150,000+",Graduate degree,Middle Atlantic,0,2,5,5,2.0,1.0,0.0
698,Married,More than 20 years,A few times per month,Healthcare Support Occupations,Male,> 60,"$100,000 - $149,999",Graduate degree,New England,0,4,4,5,5.0,3.0,0.0
699,"Single, but cohabiting with a significant other",1-5 years,Once a month or less,"Education, Training, and Library Occupations",Female,45-60,"$150,000+",Graduate degree,Middle Atlantic,1,3,5,5,1.0,2.0,0.0
700,Married,More than 20 years,Every night,Healthcare Practitioners and Technical Occupations,Male,45-60,"$150,000+",Graduate degree,East North Central,0,3,5,5,5.0,5.0,0.0
701,Married,16-20 years,Never,Computer and Mathematical Occupations,Male,45-60,"$100,000 - $149,999",Graduate degree,New England,0,3,4,5,4.0,0.0,1.0
702,Married,More than 20 years,Never,Retired,Male,> 60,Did not disclose,Graduate degree,Pacific,0,4,0,5,5.0,0.0,1.0
703,Married,6-10 years,Never,"Arts, Design, Entertainment, Sports, and Media Occupations",Female,30-44,"$150,000+",Graduate degree,Pacific,1,2,5,5,2.0,0.0,1.0
704,Married,More than 20 years,Every night,Community and Social Service Occupations,Female,> 60,"$50,000 - $99,999",Bachelor degree,East North Central,1,4,3,4,5.0,5.0,0.0
705,In a domestic partnership or civil union,16-20 years,A few times per month,Personal Care and Service Occupations,Female,45-60,"$100,000 - $149,999",Graduate degree,New England,1,3,4,5,4.0,3.0,0.0
706,Married,11-15 years,Once a month or less,Healthcare Support Occupations,Male,30-44,"$100,000 - $149,999",Graduate degree,Middle Atlantic,0,2,4,5,3.0,2.0,0.0
707,Married,More than 20 years,Once a year or less,Food Preparation and Serving Related Occupations,Male,> 60,"$25,000 - $49,999",Bachelor degree,New England,0,4,2,4,5.0,1.0,0.0
708,"Single, but cohabiting with a significant other",6-10 years,Never,Business and Financial Operations Occupations,Female,30-44,"$150,000+",Bachelor degree,East North Central,1,2,5,4,2.0,0.0,1.0
709,Married,6-10 years,Never,Healthcare Support Occupations,Male,18-29,"$50,000 - $99,999",Bachelor degree,East North Central,0,1,3,4,2.0,0.0,1.0
710,Married,More than 20 years,Once a year or less,Legal Occupations,Female,45-60,"$100,000 - $149,999",Bachelor degree,Pacific,1,3,4,4,5.0,1.0,0.0
711,Divorced,11-15 years,Once a month or less,Building and Grounds Cleaning and Maintenance Occupations,Male,45-60,Did not disclose,Some college or Associate degree,Pacific,0,3,0,3,3.0,2.0,0.0
712,Married,More than 20 years,Every night,retired,Male,> 60,"$50,000 - $99,999",Graduate degree,East North Central,0,4,3,5,5.0,5.0,0.0
713,Married,16-20 years,Every night,Did not disclose,Did not disclose,Did not disclose,Did not disclose,Did not disclose,Did not disclose,2,0,0,0,4.0,5.0,0.0
714,"Single, but cohabiting with a significant other",1-5 years,Never,"Arts, Design, Entertainment, Sports, and Media Occupations",Female,18-29,"$25,000 - $49,999",Bachelor degree,East North Central,1,1,2,4,1.0,0.0,1.0
715,"Single, but cohabiting with a significant other",1-5 years,Never,Education Non-Profit/National Service - teaching,Female,18-29,"$0 - $24,999",Bachelor degree,West South Central,1,1,1,4,1.0,0.0,1.0
716,Married,More than 20 years,Never,Retired,Male,> 60,"$50,000 - $99,999",Graduate degree,Middle Atlantic,0,4,3,5,5.0,0.0,1.0
717,Married,More than 20 years,Once a year or less,"Education, Training, and Library Occupations",Male,> 60,"$50,000 - $99,999",Bachelor degree,Pacific,0,4,3,4,5.0,1.0,0.0
718,"Single, but cohabiting with a significant other",Less than 1 year,Never,Building and Grounds Cleaning and Maintenance Occupations,Male,> 60,"$150,000+",Less than high school degree,West South Central,0,4,5,1,0.0,0.0,1.0
719,"Single, but cohabiting with a significant other",1-5 years,Once a month or less,horticulture,Female,18-29,"$25,000 - $49,999",Some college or Associate degree,Pacific,1,1,2,3,1.0,2.0,0.0
