,CurrentRelationshipStatus,RelationshipLength,Frequency in separate beds,Occupation,Gender,Age,Household income,Education,Location,Gender_code,Age_code,Household income_code,Education_code,sleep together?
387,Married,1-5 years,Never,Healthcare Support Occupations,Female,18-29,"$50,000 - $99,999",Graduate degree,East North Central,1,1,3,5,1
388,In a domestic partnership or civil union,More than 20 years,Never,Retired,Male,> 60,"$50,000 - $99,999",High school degree,Middle Atlantic,0,4,3,2,1
389,In a domestic partnership or civil union,11-15 years,Every night,both retired,Male,> 60,Did not disclose,Graduate degree,East North Central,0,4,0,5,0
390,Married,11-15 years,Once a year or less,"Education, Training, and Library Occupations",Male,> 60,"$100,000 - $149,999",Bachelor degree,East North Central,0,4,4,4,0
391,Married,More than 20 years,Once a year or less,Biotechnology,Male,45-60,"$150,000+",Graduate degree,East North Central,0,3,5,5,0
392,Married,More than 20 years,Never,Retired,Male,> 60,Did not disclose,Graduate degree,New England,0,4,0,5,1
393,Married,11-15 years,Never,Office and Administrative Support Occupations,Female,30-44,"$50,000 - $99,999",Some college or Associate degree,West North Central,1,2,3,3,1
394,"Single, but cohabiting with a significant other",1-5 years,Never,Office and Administrative Support Occupations,Female,18-29,"$0 - $24,999",Some college or Associate degree,Mountain,1,1,1,3,1
395,Married,11-15 years,A few times per week,Construction and Extraction Occupations,Male,45-60,"$50,000 - $99,999",Graduate degree,Mountain,0,3,3,5,0
396,"Single, but cohabiting with a significant other",1-5 years,A few times per week,Transportation and Materials Moving Occupations,Female,30-44,"$50,000 - $99,999",Some college or Associate degree,East North Central,1,2,3,3,0
397,Married,More than 20 years,Never,campground owner and small business owner,Female,> 60,"$50,000 - $99,999",Graduate degree,Pacific,1,4,3,5,1
398,Married,More than 20 years,Never,Compliance and Training Specialist,Male,> 60,"$100,000 - $149,999",Some college or Associate degree,East North Central,0,4,4,3,1
399,Married,1-5 years,Never,"Education, Training, and Library Occupations",Male,30-44,"$100,000 - $149,999",Graduate degree,West North Central,0,2,4,5,1
400,Married,6-10 years,Once a month or less,Office and Administrative Support Occupations,Female,18-29,Did not disclose,Graduate degree,Pacific,1,1,0,5,0
401,Married,More than 20 years,Every night,Production Occupations,Female,> 60,"$50,000 - $99,999",Some college or Associate degree,New England,1,4,3,3,0
402,Married,More than 20 years,Never,Office and Administrative Support Occupations,Female,45-60,"$25,000 - $49,999",Some college or Associate degree,West South Central,1,3,2,3,1
403,Married,1-5 years,Never,Healthcare Practitioners and Technical Occupations,Female,18-29,"$100,000 - $149,999",Some college or Associate degree,East North Central,1,1,4,3,1
404,Married,More than 20 years,Never,"Education, Training, and Library Occupations",Female,> 60,Did not disclose,Graduate degree,West North Central,1,4,0,5,1
405,"Single, but cohabiting with a significant other",Less than 1 year,Once a month or less,"Arts, Design, Entertainment, Sports, and Media Occupations",Did not disclose,Did not disclose,Did not disclose,Did not disclose,Did not disclose,2,0,0,0,0
406,Married,6-10 years,Never,Computer and Mathematical Occupations,Male,30-44,"$100,000 - $149,999",Bachelor degree,New England,0,2,4,4,1
407,Married,6-10 years,Every night,Did not disclose,Did not disclose,Did not disclose,Did not disclose,Did not disclose,Did not disclose,2,0,0,0,0
408,"Single, but cohabiting with a significant other",1-5 years,Never,Legal Occupations,Female,30-44,"$50,000 - $99,999",Graduate degree,South Atlantic,1,2,3,5,1
409,Married,11-15 years,Once a year or less,Sales and Related Occupations,Female,45-60,"$50,000 - $99,999",High school degree,East North Central,1,3,3,2,0
410,Married,More than 20 years,Never,Management Occupations,Did not disclose,Did not disclose,Did not disclose,Did not disclose,Did not disclose,2,0,0,0,1
411,Married,6-10 years,Never,Business and Financial Operations Occupations,Female,30-44,"$150,000+",Bachelor degree,West South Central,1,2,5,4,1
412,Married,1-5 years,Once a year or less,"Arts, Design, Entertainment, Sports, and Media Occupations",Male,18-29,"$50,000 - $99,999",Graduate degree,West North Central,0,1,3,5,0
413,"Single, but cohabiting with a significant other",6-10 years,Never,Legal Occupations,Female,18-29,"$0 - $24,999",Bachelor degree,East North Central,1,1,1,4,1
414,Separated,16-20 years,Once a month or less,non profit,Female,45-60,"$150,000+",Graduate degree,South Atlantic,1,3,5,5,0
415,"Single, but cohabiting with a significant other",1-5 years,Once a year or less,Healthcare Practitioners and Technical Occupations,Female,18-29,"$50,000 - $99,999",Bachelor degree,Pacific,1,1,3,4,0
416,Married,More than 20 years,Every night,retired,Male,> 60,Did not disclose,Graduate degree,New England,0,4,0,5,0
417,Married,6-10 years,Every night,Management Occupations,Female,30-44,"$50,000 - $99,999",Some college or Associate degree,Middle Atlantic,1,2,3,3,0
418,Married,More than 20 years,Never,retired,Male,> 60,Did not disclose,High school degree,Middle Atlantic,0,4,0,2,1
419,Married,More than 20 years,Never,Management Occupations,Male,45-60,Did not disclose,High school degree,East North Central,0,3,0,2,1
420,Divorced,6-10 years,A few times per week,Office and Administrative Support Occupations,Male,45-60,"$25,000 - $49,999",Bachelor degree,West North Central,0,3,2,4,0
421,In a domestic partnership or civil union,11-15 years,A few times per month,retired,Male,> 60,"$50,000 - $99,999",Bachelor degree,West North Central,0,4,3,4,0
422,"Single, but cohabiting with a significant other",Less than 1 year,Once a month or less,"Arts, Design, Entertainment, Sports, and Media Occupations",Female,18-29,"$50,000 - $99,999",Bachelor degree,West North Central,1,1,3,4,0
423,Married,More than 20 years,Never,Computer and Mathematical Occupations,Male,> 60,"$150,000+",Bachelor degree,West South Central,0,4,5,4,1
424,Married,16-20 years,Once a year or less,Healthcare Support Occupations,Male,45-60,"$50,000 - $99,999",Bachelor degree,Pacific,0,3,3,4,0
425,Married,More than 20 years,Never,Business and Financial Operations Occupations,Male,45-60,"$100,000 - $149,999",Graduate degree,East North Central,0,3,4,5,1
426,Married,6-10 years,Once a month or less,"Installation, Maintenance, and Repair Occupations",Male,30-44,"$25,000 - $49,999",High school degree,East North Central,0,2,2,2,0
427,Separated,More than 20 years,Every night,Sales and Related Occupations,Female,45-60,"$50,000 - $99,999",Bachelor degree,Mountain,1,3,3,4,0
428,Married,6-10 years,Never,Business and Financial Operations Occupations,Female,45-60,"$50,000 - $99,999",High school degree,East North Central,1,3,3,2,1
429,Married,More than 20 years,Once a year or less,research,Female,45-60,"$50,000 - $99,999",Some college or Associate degree,East North Central,1,3,3,3,0
430,Married,More than 20 years,Never,MANUFACTURING,Male,45-60,"$100,000 - $149,999",Graduate degree,East North Central,0,3,4,5,1
431,Married,6-10 years,Never,Dietary,Female,> 60,Did not disclose,Some college or Associate degree,East North Central,1,4,0,3,1
432,Married,More than 20 years,Every night,Legal Occupations,Female,45-60,"$100,000 - $149,999",Some college or Associate degree,East North Central,1,3,4,3,0
433,Married,More than 20 years,Never,"Education, Training, and Library Occupations",Female,45-60,"$50,000 - $99,999",Bachelor degree,South Atlantic,1,3,3,4,1
434,Married,More than 20 years,Never,Business and Financial Operations Occupations,Male,> 60,Did not disclose,Graduate degree,South Atlantic,0,4,0,5,1
435,Married,More than 20 years,Never,Management Occupations,Female,45-60,"$150,000+",Some college or Associate degree,West North Central,1,3,5,3,1
436,Married,6-10 years,Never,Unemployed/retired; Grassroots activist,Female,> 60,Did not disclose,Some college or Associate degree,New England,1,4,0,3,1
437,Married,11-15 years,Once a year or less,Community and Social Service Occupations,Male,> 60,"$100,000 - $149,999",Graduate degree,West South Central,0,4,4,5,0
438,Married,More than 20 years,Never,Healthcare Practitioners and Technical Occupations,Female,> 60,"$50,000 - $99,999",Some college or Associate degree,East North Central,1,4,3,3,1
439,Married,More than 20 years,Never,retired,Female,> 60,Did not disclose,Some college or Associate degree,East North Central,1,4,0,3,1
440,Married,More than 20 years,A few times per month,"Education, Training, and Library Occupations",Female,45-60,"$50,000 - $99,999",Graduate degree,West South Central,1,3,3,5,0
441,Married,1-5 years,Never,"Education, Training, and Library Occupations",Female,18-29,"$50,000 - $99,999",Bachelor degree,Pacific,1,1,3,4,1
442,Married,11-15 years,Never,Transcription,Female,30-44,"$50,000 - $99,999",Bachelor degree,South Atlantic,1,2,3,4,1
443,Married,More than 20 years,Every night,Homemaker,Female,> 60,Did not disclose,High school degree,Pacific,1,4,0,2,0
444,Married,More than 20 years,Never,Retired,Female,> 60,"$25,000 - $49,999",High school degree,Middle Atlantic,1,4,2,2,1
445,Married,More than 20 years,Once a year or less,Retired,Male,45-60,"$50,000 - $99,999",Bachelor degree,West South Central,0,3,3,4,0
446,Married,11-15 years,Never,Food Preparation and Serving Related Occupations,Female,30-44,Did not disclose,Some college or Associate degree,Pacific,1,2,0,3,1
447,Married,More than 20 years,Never,"Education, Training, and Library Occupations",Female,30-44,Did not disclose,Graduate degree,Pacific,1,2,0,5,1
448,Married,More than 20 years,Once a year or less,Office and Administrative Support Occupations,Female,45-60,"$100,000 - $149,999",Some college or Associate degree,East North Central,1,3,4,3,0
449,In a domestic partnership or civil union,1-5 years,Never,Personal Care and Service Occupations,Female,18-29,Did not disclose,High school degree,Mountain,1,1,0,2,1
450,Married,6-10 years,A few times per month,Healthcare Support Occupations,Female,30-44,"$150,000+",Graduate degree,South Atlantic,1,2,5,5,0
451,Married,More than 20 years,Never,retired,Male,> 60,Did not disclose,Graduate degree,Middle Atlantic,0,4,0,5,1
452,Married,More than 20 years,Every night,Retired,Male,> 60,"$100,000 - $149,999",Graduate degree,Middle Atlantic,0,4,4,5,0
453,In a domestic partnership or civil union,1-5 years,Every night,Healthcare Practitioners and Technical Occupations,Female,30-44,"$0 - $24,999",High school degree,East South Central,1,2,1,2,0
454,Married,16-20 years,Never,fire department,Male,30-44,"$100,000 - $149,999",Bachelor degree,South Atlantic,0,2,4,4,1
455,"Single, but cohabiting with a significant other",1-5 years,Never,Personal Care and Service Occupations,Did not disclose,Did not disclose,Did not disclose,Did not disclose,Did not disclose,2,0,0,0,1
456,Married,More than 20 years,Every night,"Education, Training, and Library Occupations",Male,> 60,"$150,000+",Graduate degree,South Atlantic,0,4,5,5,0
457,Married,11-15 years,Never,"Education, Training, and Library Occupations",Did not disclose,Did not disclose,Did not disclose,Did not disclose,Did not disclose,2,0,0,0,1
458,"Single, but cohabiting with a significant other",1-5 years,Never,Office and Administrative Support Occupations,Female,18-29,"$25,000 - $49,999",Some college or Associate degree,West South Central,1,1,2,3,1
459,Married,11-15 years,Every night,Healthcare Practitioners and Technical Occupations,Female,30-44,"$100,000 - $149,999",Some college or Associate degree,East North Central,1,2,4,3,0
460,"Single, but cohabiting with a significant other",6-10 years,Never,dog groomer,Female,18-29,"$50,000 - $99,999",Some college or Associate degree,Middle Atlantic,1,1,3,3,1
461,Married,More than 20 years,Never,"Installation, Maintenance, and Repair Occupations",Female,45-60,Did not disclose,High school degree,East South Central,1,3,0,2,1
462,Married,11-15 years,Once a year or less,research regulation,Female,30-44,"$50,000 - $99,999",Bachelor degree,West North Central,1,2,3,4,0
463,Married,11-15 years,Never,"Education, Training, and Library Occupations",Female,45-60,Did not disclose,Bachelor degree,Pacific,1,3,0,4,1
464,Married,More than 20 years,Never,retired,Male,> 60,Did not disclose,Graduate degree,South Atlantic,0,4,0,5,1
465,Married,More than 20 years,Never,Office and Administrative Support Occupations,Female,45-60,Did not disclose,Some college or Associate degree,Pacific,1,3,0,3,1
466,Married,More than 20 years,Once a year or less,Volunteer with animal welfare nonprofits,Did not disclose,Did not disclose,Did not disclose,Did not disclose,Did not disclose,2,0,0,0,0
467,Married,6-10 years,Never,Did not disclose,Did not disclose,Did not disclose,Did not disclose,Did not disclose,Did not disclose,2,0,0,0,1
468,Married,16-20 years,Once a year or less,Management Occupations,Male,30-44,"$50,000 - $99,999",Graduate degree,Pacific,0,2,3,5,0
469,Married,16-20 years,Never,Legal Occupations,Male,30-44,"$150,000+",Graduate degree,East North Central,0,2,5,5,1
470,Married,More than 20 years,Never,Retired from substance abuse counseling.,Female,> 60,"$50,000 - $99,999",Graduate degree,East North Central,1,4,3,5,1
471,Married,More than 20 years,Never,Business and Financial Operations Occupations,Male,45-60,"$50,000 - $99,999",Bachelor degree,West North Central,0,3,3,4,1
472,Married,1-5 years,Never,"Education, Training, and Library Occupations",Female,18-29,"$50,000 - $99,999",Graduate degree,East South Central,1,1,3,5,1
473,Married,11-15 years,A few times per month,Management Occupations,Male,45-60,Did not disclose,Graduate degree,Middle Atlantic,0,3,0,5,0
474,Married,16-20 years,A few times per week,Healthcare Practitioners and Technical Occupations,Female,30-44,"$50,000 - $99,999",Bachelor degree,East North Central,1,2,3,4,0
475,Married,11-15 years,Every night,"Education, Training, and Library Occupations",Female,45-60,"$100,000 - $149,999",Graduate degree,New England,1,3,4,5,0
476,Married,1-5 years,Once a year or less,Healthcare Practitioners and Technical Occupations,Female,30-44,"$25,000 - $49,999",Graduate degree,South Atlantic,1,2,2,5,0
477,Married,More than 20 years,Never,Food Preparation and Serving Related Occupations,Female,45-60,"$25,000 - $49,999",Bachelor degree,East South Central,1,3,2,4,1
478,"Single, but cohabiting with a significant other",1-5 years,Never,Public safety,Female,18-29,"$50,000 - $99,999",Bachelor degree,New England,1,1,3,4,1
479,"Single, but cohabiting with a significant other",1-5 years,Every night,Did not disclose,Did not disclose,Did not disclose,Did not disclose,Did not disclose,Did not disclose,2,0,0,0,0
480,"Single, but cohabiting with a significant other",6-10 years,Never,Public Health,Female,18-29,"$0 - $24,999",Bachelor degree,West North Central,1,1,1,4,1
481,Married,More than 20 years,A few times per week,We are both retired,Female,> 60,"$50,000 - $99,999",Some college or Associate degree,South Atlantic,1,4,3,3,0
482,Married,6-10 years,Once a year or less,Office and Administrative Support Occupations,Female,18-29,"$50,000 - $99,999",Some college or Associate degree,South Atlantic,1,1,3,3,0
483,Married,More than 20 years,Once a year or less,retired,Male,45-60,Did not disclose,Bachelor degree,Pacific,0,3,0,4,0
484,Married,More than 20 years,Every night,Did not disclose,Did not disclose,Did not disclose,Did not disclose,Did not disclose,Did not disclose,2,0,0,0,0
485,Married,6-10 years,A few times per month,Small Business Owner,Female,18-29,"$150,000+",High school degree,Pacific,1,1,5,2,0
486,Married,11-15 years,Every night,Sales and Related Occupations,Male,45-60,"$0 - $24,999",High school degree,South Atlantic,0,3,1,2,0
487,Married,1-5 years,Never,"Education, Training, and Library Occupations",Female,30-44,"$50,000 - $99,999",Bachelor degree,Middle Atlantic,1,2,3,4,1
488,Married,More than 20 years,Once a year or less,Volunteer for animal welfare nonprofits,Female,> 60,"$100,000 - $149,999",Bachelor degree,East North Central,1,4,4,4,0
489,Married,More than 20 years,Never,Legal Occupations,Female,> 60,"$50,000 - $99,999",Graduate degree,East North Central,1,4,3,5,1
490,Married,More than 20 years,Once a year or less,Business and Financial Operations Occupations,Male,> 60,"$150,000+",Graduate degree,South Atlantic,0,4,5,5,0
491,Married,16-20 years,Never,Sales and Related Occupations,Female,30-44,Did not disclose,Some college or Associate degree,Mountain,1,2,0,3,1
492,Married,16-20 years,Never,"Education, Training, and Library Occupations",Male,30-44,"$50,000 - $99,999",Some college or Associate degree,South Atlantic,0,2,3,3,1
493,Married,6-10 years,Every night,Business and Financial Operations Occupations,Male,> 60,"$100,000 - $149,999",Some college or Associate degree,New England,0,4,4,3,0
494,Married,More than 20 years,Every night,retired,Male,> 60,"$50,000 - $99,999",Some college or Associate degree,Pacific,0,4,3,3,0
495,Married,1-5 years,Never,"Writing and editing, self-employed",Female,30-44,"$50,000 - $99,999",Bachelor degree,Pacific,1,2,3,4,1
496,Married,More than 20 years,Once a year or less,Occupational Health and Safety,Female,> 60,Did not disclose,Bachelor degree,East North Central,1,4,0,4,0
497,Married,16-20 years,Once a month or less,Did not disclose,Did not disclose,Did not disclose,Did not disclose,Did not disclose,Did not disclose,2,0,0,0,0
498,Married,6-10 years,Once a month or less,Office and Administrative Support Occupations,Male,18-29,"$50,000 - $99,999",High school degree,West North Central,0,1,3,2,0
499,Married,More than 20 years,Never,Retired,Female,> 60,Did not disclose,Graduate degree,Middle Atlantic,1,4,0,5,1
500,Married,More than 20 years,Once a month or less,Healthcare Practitioners and Technical Occupations,Female,45-60,"$150,000+",Graduate degree,West North Central,1,3,5,5,0
501,Married,More than 20 years,A few times per week,"Education, Training, and Library Occupations",Female,> 60,Did not disclose,Graduate degree,Middle Atlantic,1,4,0,5,0
502,"Single, but cohabiting with a significant other",1-5 years,Every night,retired,Male,> 60,Did not disclose,Some college or Associate degree,East North Central,0,4,0,3,0
503,"Single, but cohabiting with a significant other",1-5 years,Never,Computer and Mathematical Occupations,Female,30-44,"$150,000+",Some college or Associate degree,East North Central,1,2,5,3,1
504,In a domestic partnership or civil union,1-5 years,Never,Computer and Mathematical Occupations,Female,45-60,"$100,000 - $149,999",Some college or Associate degree,Mountain,1,3,4,3,1
505,Married,More than 20 years,Never,Retired,Female,> 60,"$150,000+",Graduate degree,West South Central,1,4,5,5,1
506,Married,More than 20 years,Never,retired,Male,> 60,"$50,000 - $99,999",High school degree,West North Central,0,4,3,2,1
507,Married,6-10 years,Never,"Arts, Design, Entertainment, Sports, and Media Occupations",Female,18-29,"$50,000 - $99,999",High school degree,East North Central,1,1,3,2,1
508,Married,More than 20 years,Never,Retired,Female,> 60,Did not disclose,Some college or Associate degree,New England,1,4,0,3,1
509,In a domestic partnership or civil union,11-15 years,Never,"Education, Training, and Library Occupations",Female,45-60,"$50,000 - $99,999",Graduate degree,South Atlantic,1,3,3,5,1
510,Married,16-20 years,Never,Human Resources,Female,30-44,"$100,000 - $149,999",Graduate degree,East North Central,1,2,4,5,1
511,Married,More than 20 years,Never,"Education, Training, and Library Occupations",Female,45-60,"$50,000 - $99,999",Bachelor degree,West North Central,1,3,3,4,1
512,Married,More than 20 years,A few times per month,retired,Male,> 60,"$100,000 - $149,999",Bachelor degree,New England,0,4,4,4,0
513,Married,16-20 years,Never,"Education, Training, and Library Occupations",Female,30-44,"$50,000 - $99,999",Some college or Associate degree,West North Central,1,2,3,3,1
514,In a domestic partnership or civil union,1-5 years,Never,Sales and Related Occupations,Female,18-29,"$100,000 - $149,999",High school degree,Mountain,1,1,4,2,1
515,Married,More than 20 years,Never,retired,Male,> 60,"$100,000 - $149,999",Graduate degree,New England,0,4,4,5,1
516,Married,More than 20 years,Once a year or less,Retired,Female,> 60,"$50,000 - $99,999",Bachelor degree,East North Central,1,4,3,4,0
517,Married,More than 20 years,Never,Healthcare Practitioners and Technical Occupations,Did not disclose,Did not disclose,Did not disclose,Did not disclose,Did not disclose,2,0,0,0,1
518,Married,1-5 years,Never,Office and Administrative Support Occupations,Female,18-29,"$25,000 - $49,999",Bachelor degree,West South Central,1,1,2,4,1
519,Married,More than 20 years,Never,graduate student,Female,45-60,"$50,000 - $99,999",Bachelor degree,Middle Atlantic,1,3,3,4,1
520,Married,More than 20 years,Never,Semi-retired Job-Shop,Male,> 60,"$100,000 - $149,999",Some college or Associate degree,West South Central,0,4,4,3,1
521,Married,6-10 years,Once a year or less,Computer and Mathematical Occupations,Male,45-60,Did not disclose,Graduate degree,Mountain,0,3,0,5,0
522,Married,More than 20 years,Never,Architecture and Engineering Occupations,Male,45-60,"$150,000+",Bachelor degree,Pacific,0,3,5,4,1
523,In a domestic partnership or civil union,1-5 years,Never,Customer Service,Male,18-29,Did not disclose,Some college or Associate degree,Did not disclose,0,1,0,3,1
524,Married,More than 20 years,Never,retired,Female,> 60,"$50,000 - $99,999",Some college or Associate degree,South Atlantic,1,4,3,3,1
525,Married,More than 20 years,Never,retired,Female,> 60,"$50,000 - $99,999",Graduate degree,East North Central,1,4,3,5,1
526,Married,More than 20 years,Once a month or less,retired,Female,> 60,Did not disclose,Bachelor degree,South Atlantic,1,4,0,4,0
527,Married,More than 20 years,Never,Healthcare Practitioners and Technical Occupations,Female,30-44,"$50,000 - $99,999",Graduate degree,South Atlantic,1,2,3,5,1
528,Married,11-15 years,Never,Legal Occupations,Female,> 60,"$50,000 - $99,999",Graduate degree,West South Central,1,4,3,5,1
529,Married,More than 20 years,Never,Protective Service Occupations,Did not disclose,Did not disclose,Did not disclose,Did not disclose,Did not disclose,2,0,0,0,1
530,Married,More than 20 years,Never,Retired,Female,> 60,"$50,000 - $99,999",Graduate degree,West North Central,1,4,3,5,1
531,Married,More than 20 years,A few times per week,"Education, Training, and Library Occupations",Female,45-60,"$150,000+",Bachelor degree,West South Central,1,3,5,4,0
532,Married,More than 20 years,Never,retired educator,Female,> 60,"$50,000 - $99,999",Graduate degree,East North Central,1,4,3,5,1
533,Married,11-15 years,Never,Sales and Related Occupations,Male,45-60,"$100,000 - $149,999",High school degree,Middle Atlantic,0,3,4,2,1
534,Married,11-15 years,Once a year or less,Healthcare Practitioners and Technical Occupations,Female,30-44,"$50,000 - $99,999",Bachelor degree,East South Central,1,2,3,4,0
535,Married,6-10 years,Once a month or less,"Education, Training, and Library Occupations",Male,30-44,"$50,000 - $99,999",Some college or Associate degree,West South Central,0,2,3,3,0
536,Married,6-10 years,Never,"Education, Training, and Library Occupations",Female,30-44,"$50,000 - $99,999",Graduate degree,South Atlantic,1,2,3,5,1
537,Married,1-5 years,Never,Legal Occupations,Male,> 60,"$100,000 - $149,999",Graduate degree,West North Central,0,4,4,5,1
538,Married,11-15 years,Never,Community and Social Service Occupations,Female,18-29,"$50,000 - $99,999",Graduate degree,East North Central,1,1,3,5,1
539,Married,6-10 years,Once a year or less,homemaker,Female,30-44,"$100,000 - $149,999",Bachelor degree,Middle Atlantic,1,2,4,4,0
540,Married,More than 20 years,Never,Pastoral Care and Relgiouls Studies,Female,45-60,"$0 - $24,999",Graduate degree,Middle Atlantic,1,3,1,5,1
541,Married,6-10 years,Never,Sales and Related Occupations,Female,45-60,"$100,000 - $149,999",Graduate degree,East South Central,1,3,4,5,1
542,Married,6-10 years,Once a year or less,"Education, Training, and Library Occupations",Male,30-44,"$100,000 - $149,999",Graduate degree,East North Central,0,2,4,5,0
543,Married,11-15 years,Never,Retired from medical device clinical trials but do consulting,Female,> 60,"$150,000+",Graduate degree,East North Central,1,4,5,5,1
544,Married,6-10 years,Every night,"Education, Training, and Library Occupations",Female,45-60,"$100,000 - $149,999",Graduate degree,West North Central,1,3,4,5,0
545,Married,More than 20 years,Once a year or less,homemaker,Female,45-60,Did not disclose,Bachelor degree,Middle Atlantic,1,3,0,4,0
546,Married,More than 20 years,Every night,Legal Occupations,Male,> 60,"$150,000+",Graduate degree,East South Central,0,4,5,5,0
547,Married,More than 20 years,Never,Management Occupations,Male,> 60,"$100,000 - $149,999",Bachelor degree,West North Central,0,4,4,4,1
548,Married,More than 20 years,Every night,Sales and Related Occupations,Male,45-60,"$100,000 - $149,999",Some college or Associate degree,Mountain,0,3,4,3,0
549,Married,More than 20 years,Never,"Education, Training, and Library Occupations",Male,> 60,Did not disclose,Graduate degree,Middle Atlantic,0,4,0,5,1
550,Married,More than 20 years,Never,Investment management,Male,> 60,"$150,000+",Bachelor degree,South Atlantic,0,4,5,4,1
551,Married,More than 20 years,Never,Healthcare Practitioners and Technical Occupations,Female,45-60,"$100,000 - $149,999",Some college or Associate degree,Middle Atlantic,1,3,4,3,1
552,Married,More than 20 years,Never,retired/volunteer,Female,> 60,Did not disclose,Graduate degree,New England,1,4,0,5,1
553,Married,11-15 years,Every night,retired,Male,> 60,"$100,000 - $149,999",Graduate degree,West South Central,0,4,4,5,0
554,Married,11-15 years,Never,Safety and Occupational Health,Male,> 60,"$50,000 - $99,999",Graduate degree,West North Central,0,4,3,5,1
555,Married,1-5 years,Once a month or less,Food Preparation and Serving Related Occupations,Female,18-29,"$25,000 - $49,999",Some college or Associate degree,Middle Atlantic,1,1,2,3,0
556,Married,More than 20 years,Never,Retired!,Male,> 60,"$50,000 - $99,999",Bachelor degree,Pacific,0,4,3,4,1
557,Married,More than 20 years,Every night,disabled,Female,30-44,"$50,000 - $99,999",Bachelor degree,East North Central,1,2,3,4,0
558,Married,11-15 years,Never,Production Occupations,Female,30-44,"$100,000 - $149,999",Bachelor degree,Pacific,1,2,4,4,1
559,Married,More than 20 years,Never,Commercial real estate,Male,> 60,"$150,000+",Graduate degree,Middle Atlantic,0,4,5,5,1
560,Married,More than 20 years,Never,Production Occupations,Male,45-60,"$100,000 - $149,999",Some college or Associate degree,East South Central,0,3,4,3,1
561,Married,More than 20 years,A few times per month,"Education, Training, and Library Occupations",Male,45-60,"$50,000 - $99,999",Bachelor degree,East South Central,0,3,3,4,0
562,Married,11-15 years,A few times per week,"Education, Training, and Library Occupations",Female,30-44,"$50,000 - $99,999",Graduate degree,East North Central,1,2,3,5,0
563,Married,More than 20 years,Never,Business and Financial Operations Occupations,Female,> 60,Did not disclose,High school degree,Middle Atlantic,1,4,0,2,1
564,Married,More than 20 years,Never,"Arts, Design, Entertainment, Sports, and Media Occupations",Did not disclose,Did not disclose,Did not disclose,Did not disclose,Did not disclose,2,0,0,0,1
565,Married,16-20 years,Never,Architecture and Engineering Occupations,Male,30-44,"$150,000+",Bachelor degree,New England,0,2,5,4,1
566,Married,16-20 years,Once a year or less,Transportation and Materials Moving Occupations,Male,45-60,"$50,000 - $99,999",Some college or Associate degree,Mountain,0,3,3,3,0
567,"Single, but cohabiting with a significant other",Less than 1 year,Once a month or less,Office and Administrative Support Occupations,Male,30-44,"$50,000 - $99,999",Bachelor degree,West South Central,0,2,3,4,0
568,Married,More than 20 years,Never,Healthcare Support Occupations,Female,30-44,Did not disclose,Some college or Associate degree,South Atlantic,1,2,0,3,1
569,Married,More than 20 years,Never,retired,Female,> 60,"$50,000 - $99,999",High school degree,West North Central,1,4,3,2,1
570,Married,More than 20 years,Never,Management Occupations,Male,> 60,"$50,000 - $99,999",Bachelor degree,New England,0,4,3,4,1
571,Married,1-5 years,Never,Computer and Mathematical Occupations,Male,18-29,"$50,000 - $99,999",Bachelor degree,West North Central,0,1,3,4,1
572,Married,More than 20 years,A few times per month,"Education, Training, and Library Occupations",Female,45-60,Did not disclose,Graduate degree,New England,1,3,0,5,0
573,Married,More than 20 years,Never,Homemaker,Female,45-60,"$50,000 - $99,999",High school degree,South Atlantic,1,3,3,2,1
574,Married,More than 20 years,Never,"Arts, Design, Entertainment, Sports, and Media Occupations",Female,45-60,"$0 - $24,999",Bachelor degree,South Atlantic,1,3,1,4,1
575,Married,6-10 years,Once a year or less,"Arts, Design, Entertainment, Sports, and Media Occupations",Male,30-44,"$100,000 - $149,999",Bachelor degree,Pacific,0,2,4,4,0
576,Married,More than 20 years,Never,boatbuilder repair,Male,> 60,Did not disclose,Some college or Associate degree,New England,0,4,0,3,1
577,Married,16-20 years,Every night,Healthcare Practitioners and Technical Occupations,Female,30-44,"$100,000 - $149,999",Bachelor degree,East South Central,1,2,4,4,0
578,Married,1-5 years,Every night,Currently a stay-at-home mother,Female,30-44,Did not disclose,Graduate degree,Middle Atlantic,1,2,0,5,0
579,Married,More than 20 years,Once a month or less,Sales and Related Occupations,Female,45-60,Did not disclose,High school degree,South Atlantic,1,3,0,2,0
580,"Single, but cohabiting with a significant other",11-15 years,Once a year or less,"Education, Training, and Library Occupations",Female,30-44,"$25,000 - $49,999",Bachelor degree,Pacific,1,2,2,4,0
581,Divorced,Less than 1 year,Never,"Education, Training, and Library Occupations",Male,30-44,"$0 - $24,999",Bachelor degree,Pacific,0,2,1,4,1
582,Married,More than 20 years,Once a year or less,government,Female,45-60,"$150,000+",Some college or Associate degree,New England,1,3,5,3,0
583,Married,16-20 years,Once a month or less,"Education, Training, and Library Occupations",Female,> 60,"$50,000 - $99,999",Graduate degree,New England,1,4,3,5,0
584,Married,6-10 years,Never,Architecture and Engineering Occupations,Male,> 60,"$50,000 - $99,999",Some college or Associate degree,East North Central,0,4,3,3,1
585,Divorced,11-15 years,Once a month or less,Healthcare Support Occupations,Female,30-44,"$100,000 - $149,999",Graduate degree,South Atlantic,1,2,4,5,0
